,Car_Name,Make,Model,Make_Year,Color,Body_Type,Mileage_Run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity(L),Engine_Type,CC_Displacement,Transmission,Transmission_Type,Power(BHP),Torque(Nm),Mileage(kmpl),Emission,Price,y_prediction
238,Maruti Suzuki Baleno [2019-2022] Zeta AT Petrol,Maruti Suzuki,Baleno,2019,blue,hatchback,"27,053",1st,5,petrol,37,1.2L VVT Engine,1197,5-Speed,Manual,81.8,113.0,21.01,BS V,844000,723792.0963313878
239,Maruti Suzuki Baleno [2019-2022] Zeta AT Petrol,Maruti Suzuki,Baleno,2019,blue,hatchback,"27,053",1st,5,petrol,37,1.2L VVT Engine,1197,5-Speed,Manual,81.8,113.0,21.01,BS V,844000,723792.0963313878
240,Maruti Suzuki Dzire [2017-2020] ZXi Plus AMT,Maruti Suzuki,Dzire,2017,blue,sedan,"28,833",1st,5,petrol,37,1.2 Litre Petrol Engine,1696,5-Speed,Automatic,88.5,113.0,24.12,BS V,789000,584513.9432116747
241,Honda Jazz VX MT,Honda,Jazz,2016,red,hatchback,"48,606",2nd,5,petrol,40,1.2 i-VTEC Petrol,1199,5-Speed,Manual,88.51,110.0,16.6,BS IV,570000,605192.7248144448
242,Maruti Suzuki Baleno [2015-2019] Alpha Petrol,Maruti Suzuki,Baleno,2016,red,hatchback,"96,236",1st,5,petrol,37,1.2L VVT Engine,1197,5-Speed,Manual,81.8,113.0,21.01,BS V,639000,514874.86665180326
243,Maruti Suzuki Swift Dzire [2012-2017] VXi,Maruti Suzuki,Swift Dzire,2012,silver,sedan,"37,258",1st,5,petrol,42,K Series VVT Engine,1197,5-Speed,Manual,85.8,114.0,19.1,BS IV,470000,386848.32401674986
244,Maruti Suzuki Celerio [2014-2021] VXi AMT,Maruti Suzuki,Celerio,2014,silver,hatchback,"33,869",1st,5,petrol,35,K10B,998,5-Speed,Automatic,67.04,90.0,23.1,BS IV,454000,315384.808090359
245,Maruti Suzuki Ertiga [2012-2015] Vxi,Maruti Suzuki,Ertiga,2013,silver,muv,"91,796",1st,7,petrol,45,K-Series Petrol Engine with VVT,1373,5-Speed,Manual,93.7,130.0,16.02,BS III,618000,546805.258739233
246,Tata Tiago [2016-2020] Revotron XT,Tata,Tiago,2019,grey,hatchback,"45,607",1st,5,petrol,35,Revotron Engine,1199,5-Speed,Automatic,84.0,114.0,23.84,BS V,548000,663580.1908896565
247,Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT,Hyundai,Grand i10 Nios,2021,grey,hatchback,"1,117",1st,5,petrol,37,1.2 L Kappa Petrol,1197,5-Speed,Manual,81.86,113.75,20.7,BS IV,710000,863070.2494511306
248,Hyundai Grand i10 [2017-2020] Sportz (O) 1.2 kappa VTVT,Hyundai,Grand i10,2018,blue,hatchback,"24,745",1st,5,petrol,43,Kappa VTVT Petrol Engine,1197,5-Speed,Automatic,81.86,113.75,18.9,BS V,621000,834788.7360967994
249,Hyundai Creta [2015-2018] 1.6 SX Plus Auto,Hyundai,Creta,2017,red,suv,"66,868",1st,5,diesel,60,U2 VGT CRDi,1596,6-Speed,Manual,126.0,265.0,17.01,BS IV,1290000,1276950.8557917774
250,Hyundai Creta [2015-2018] 1.6 SX Plus Auto,Hyundai,Creta,2017,red,suv,"66,868",1st,5,diesel,60,U2 VGT CRDi,1596,6-Speed,Manual,126.0,265.0,17.01,BS IV,1290000,1276950.8557917774
251,Hyundai Creta [2015-2018] 1.6 SX Plus Auto,Hyundai,Creta,2017,red,suv,"66,868",1st,5,diesel,60,U2 VGT CRDi,1582,6-Speed,Manual,126.0,265.0,17.01,BS IV,1290000,1276950.8557917774
252,Hyundai Creta [2015-2018] 1.6 SX Plus Auto,Hyundai,Creta,2017,red,suv,"66,868",1st,5,diesel,60,U2 VGT CRDi,1582,6-Speed,Manual,126.0,265.0,17.01,BS IV,1290000,1276950.8557917774
253,Honda WR-V VX i-VTEC,Honda,WR-V,2017,red,suv,"75,639",1st,5,petrol,40,i-VTEC Petrol engine,1199,5-Speed,Manual,88.5,110.0,16.5,BS IV,748000,674831.8013743162
254,Chevrolet Beat [2011-2014] LS Diesel,Chevrolet,Beat,2013,blue,hatchback,"77,022",1st,5,diesel,35,XSDE Smartech,936,5-Speed,Manual,58.0,150.0,25.44,BS IV,267000,245745.73153048754
255,Renault Kwid [2015-2019] RXL,Renault,Kwid,2018,bronze,hatchback,"56,387",1st,5,petrol,28,Petrol Engine,799,5-Speed,Manual,53.3,72.0,25.17,BS V,368000,383199.44528371096
256,Hyundai Venue [2019-2022] SX Plus 1.0 Turbo DCT,Hyundai,Venue,2019,red,suv,"23,724",1st,5,petrol,45,Kappa 1.0 L Turbo GDi Petrol,998,7-Speed,Manual,118.35,171.6,18.15,BS V,1137000,964639.718098402
257,Maruti Suzuki Celerio ZXi Plus,Maruti Suzuki,Celerio,2022,grey,hatchback,"6,900",1st,5,petrol,35,K10B Engine,998,5-Speed,Manual,67.04,90.0,21.63,BS IV,699000,872497.420569241
258,Maruti Suzuki Celerio [2014-2021] ZXi AMT,Maruti Suzuki,Celerio,2017,grey,hatchback,"43,785",1st,5,petrol,35,K10B,998,5-Speed,Automatic,67.04,90.0,23.1,BS IV,544000,524302.0377699435
259,Honda Amaze 1.5 VX CVT i-DTEC,Honda,Amaze,2019,white,sedan,"29,780",1st,5,diesel,35,i-DTEC,1199,5-Speed,Manual,79.0,160.0,21,BS IV,982000,663580.1908896565
260,Maruti Suzuki Baleno [2015-2019] Zeta Petrol,Maruti Suzuki,Baleno,2015,blue,hatchback,"56,207",1st,5,petrol,37,1.2L VVT Engine,1197,5-Speed,Manual,81.8,113.0,21.01,BS V,611000,445235.7900919616
261,Maruti Suzuki Vitara Brezza [2016-2020] ZDI PLUS Dual Tone,Maruti Suzuki,Vitara Brezza,2016,yellow,suv,"40,003",1st,5,diesel,48,DDiS 200 Diesel Engine,1248,5-Speed,Automatic,88.5,200.0,24.3,BS V,941000,846040.3465814292
262,Hyundai i20 [2012-2014] Asta 1.2,Hyundai,i20,2014,silver,hatchback,"94,315",1st,5,petrol,45,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,82.85,113.7,18.5,BS IV,534000,616444.3352991045
263,Maruti Suzuki Celerio [2014-2021] ZXi AMT,Maruti Suzuki,Celerio,2018,grey,hatchback,"29,492",1st,5,petrol,35,K10B,998,5-Speed,Automatic,67.04,90.0,23.1,BS IV,584000,593941.1143298149
264,Maruti Suzuki Ciaz [2014-2017] ZXI+,Maruti Suzuki,Ciaz,2017,grey,sedan,"21,365",1st,5,petrol,43,k14B VVT Engine,1373,5-Speed,Manual,91.1,130.0,20.73,BS IV,827000,765149.6595369279
265,Ford Figo [2019-2021] Titanium Diesel,Ford,Figo,2019,red,hatchback,"31,262",1st,5,diesel,40,TDCi Diesel Engine,1596,5-Speed,Manual,98.96,215.0,24.4,BS V,681000,814109.9544940293
266,Ford Figo [2019-2021] Titanium Diesel,Ford,Figo,2019,red,hatchback,"31,262",1st,5,diesel,40,TDCi Diesel Engine,1596,5-Speed,Manual,98.96,215.0,24.4,BS V,681000,814109.9544940293
267,Ford Figo [2019-2021] Titanium Diesel,Ford,Figo,2019,red,hatchback,"31,262",1st,5,diesel,40,TDCi Diesel Engine,1499,5-Speed,Manual,98.96,215.0,24.4,BS V,681000,814109.9544940293
268,Ford Figo [2019-2021] Titanium Diesel,Ford,Figo,2019,red,hatchback,"31,262",1st,5,diesel,40,TDCi Diesel Engine,1499,5-Speed,Manual,98.96,215.0,24.4,BS V,681000,814109.9544940293
269,Honda Jazz [2015-2020] SV MT,Honda,Jazz,2017,red,hatchback,"56,221",1st,5,petrol,40,i-VTEC Petrol Engine,1199,5-Speed,Automatic,88.7,110.0,18.7,BS V,580000,674831.8013743162
270,Hyundai Grand i10 Nios Sportz AMT 1.2 Kappa VTVT,Hyundai,Grand i10 Nios,2021,grey,hatchback,"27,185",1st,5,petrol,37,1.2 L Kappa Petrol,1197,5-Speed,Manual,81.86,113.75,20.07,BS IV,746000,863070.2494511306
271,Honda Amaze [2013-2018] 1.2 VX i-VTEC,Honda,Amaze,2014,red,sedan,"63,170",2nd,5,petrol,35,"4-Cylinder, SOHC i-VTEC",1198,5-Speed,Manual,86.9,109.0,18.0,BS IV,452000,315384.808090359
272,Tata Nano GenX [2015-2018] XT,Tata,Nano GenX,2015,purple,hatchback,"44,736",1st,5,petrol,24,"2 cylinder, MPFI, Gasoline",624,4-Speed,Manual,37.0,51.0,23.6,BS IV,239000,53858.40472060442
273,Renault Kwid [2017-2019] RXT 1.0 SCE Special (O),Renault,Kwid,2019,grey,hatchback,"13,111",1st,5,petrol,28,Petrol Engine,999,5-Speed,Manual,67.0,91.0,23.01,BS V,453000,452838.5218435526
274,Ford Figo [2015-2019] Titanium1.5 TDCi,Ford,Figo,2016,grey,hatchback,"83,705",1st,5,diesel,40,TDCi,1498,5-Speed,Manual,99.0,215.0,25.83,BS V,521000,605192.7248144448
275,Renault Triber RXZ,Renault,Triber,2021,white,muv,"7,227",1st,7,petrol,40,1.0L Petrol Engine,999,5-Speed,Manual,71.0,96.0,20,BS IV,780000,953388.1076137722
276,Hyundai Verna [2011-2015] Fluidic 1.6 VTVT SX Opt,Hyundai,Verna,2014,white,sedan,"45,880",1st,5,petrol,43,Front Wheel Drive,1582,5-Speed,Automatic,121.0,158.0,17.01,BS III,694000,556232.4298573434
277,Maruti Suzuki Ciaz [2014-2017] ZXI+,Maruti Suzuki,Ciaz,2015,white,sedan,"36,850",1st,5,petrol,43,k14B VVT Engine,1373,5-Speed,Manual,91.1,130.0,20.73,BS IV,698000,625871.5064172149
278,Maruti Suzuki Swift [2007-2011] VXi,Maruti Suzuki,Swift,2011,silver,hatchback,"53,160",1st,5,petrol,43,In-Line Engine,1197,5-Speed,Manual,85.0,113.0,16.1,BS IV,426000,347315.20017775893
279,Honda City V,Honda,City,2021,white,sedan,"17,790",1st,5,petrol,40,i VTEC Engine,1497,5-Speed,Manual,117.6,145.0,17.4,BS IV,989000,953388.1076137722
280,Honda City V,Honda,City,2020,white,sedan,"24,218",1st,5,petrol,40,i VTEC Engine,1497,5-Speed,Manual,117.6,145.0,17.4,BS IV,940000,883749.0310539007
281,Hyundai Grand i10 [2017-2020] Magna 1.2 Kappa VTVT,Hyundai,Grand i10,2017,red,hatchback,"11,304",1st,5,petrol,43,Kappa VTVT Petrol Engine,1197,5-Speed,Automatic,81.86,113.75,18.9,BS V,556000,765149.6595369279
282,Tata Altroz XE 1.5,Tata,Altroz,2021,grey,hatchback,"12,002",1st,5,diesel,37,1.5 L Turbocharged Revotorq,1497,5-Speed,Manual,89.0,200.0,23 ,BS IV,785000,863070.2494511306
283,Mahindra XUV 300 W8 Diesel,Mahindra,XUV 300,2020,black,suv,"61,411",1st,5,diesel,42,1.5L Turbo Diesel,1497,6-Speed,Manual,115.0,300.0,20,BS IV,1077000,943960.9364956319
284,Hyundai Grand i10 [2013-2017] Sportz 1.2 Kappa VTVT,Hyundai,Grand i10,2014,grey,hatchback,"35,703",1st,5,petrol,43,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,82.0,114.0,18.9,BS IV,464000,556232.4298573434
285,Hyundai Xcent [2017-2019] S Petrol,Hyundai,Xcent,2017,grey,sedan,"45,378",1st,5,petrol,43,1.2L Kappa Dual VTVT Petr,1596,5-Speed,Manual,81.86,113.75,20.14,BS V,589000,765149.6595369279
286,Hyundai Xcent [2017-2019] S Petrol,Hyundai,Xcent,2017,grey,sedan,"45,378",1st,5,petrol,43,1.2L Kappa Dual VTVT Petr,1596,5-Speed,Manual,81.86,113.75,20.14,BS V,589000,765149.6595369279
287,Hyundai Xcent [2017-2019] S Petrol,Hyundai,Xcent,2017,grey,sedan,"45,378",1st,5,petrol,43,1.2L Kappa Dual VTVT Petr,1197,5-Speed,Manual,81.86,113.75,20.14,BS V,589000,765149.6595369279
288,Hyundai Xcent [2017-2019] S Petrol,Hyundai,Xcent,2017,grey,sedan,"45,378",1st,5,petrol,43,1.2L Kappa Dual VTVT Petr,1197,5-Speed,Manual,81.86,113.75,20.14,BS V,589000,765149.6595369279
289,Hyundai Grand i10 [2017-2020] Sportz 1.2 Kappa VTVT,Hyundai,Grand i10,2018,grey,hatchback,"28,557",2nd,5,petrol,43,Kappa VTVT Petrol Engine,1197,5-Speed,Automatic,81.86,113.75,18.9,BS V,574000,834788.7360967994
290,Maruti Suzuki Celerio ZXi Plus,Maruti Suzuki,Celerio,2021,white,hatchback,"14,853",1st,5,petrol,35,K10B Engine,998,5-Speed,Manual,67.04,90.0,21.63,BS IV,655000,802858.3440093994
291,Maruti Suzuki Ciaz S Petrol,Maruti Suzuki,Ciaz,2020,silver,sedan,"70,245",1st,5,petrol,43,K15 Smart Hybrid Petrol E,1462,5-Speed,Manual,103.25,138.0,20.65,BS IV,920000,974066.8892165124
292,Maruti Suzuki Eeco AC 5 STR,Maruti Suzuki,Eeco,2020,grey,muv,"22,703",1st,5,petrol,40,Aluminium 32 bit,1197,5-Speed,Manual,72.42,98.0,16.11,BS IV,488000,883749.0310539007
293,Renault Kwid CLIMBER 1.0 AMT Opt,Renault,Kwid,2020,blue,hatchback,"36,069",1st,5,petrol,28,Petrol Engine,1298,5-Speed,Automatic,67.0,91.0,22,BS IV,548000,522477.598403424
294,Maruti Suzuki Wagon R 1.0 [2015-2019] VXI AMT,Maruti Suzuki,Wagon R 1.0,2016,silver,hatchback,"5,227",1st,5,petrol,32,K10B Petrol Engine,998,5-Speed,Manual,67.05,90.0,21.79,BS V,528000,364345.1030474603
295,Maruti Suzuki Celerio [2014-2021] ZXi AMT,Maruti Suzuki,Celerio,2017,grey,hatchback,"27,803",1st,5,petrol,35,K10B,998,5-Speed,Automatic,67.04,90.0,23.1,BS IV,527000,524302.0377699435
296,Honda City [2017-2020] VX,Honda,City,2017,white,sedan,"47,154",1st,5,petrol,40,i VTEC Engine,1497,5-Speed,Automatic,117.6,145.0,17.4,BS V,952000,674831.8013743162
297,Honda Brio [2011-2016] S MT,Honda,Brio,2012,silver,hatchback,"84,488",1st,5,petrol,35,4 cylinder inline petrol,1198,5-Speed,Manual,86.8,109.0,19.4,BS III,340000,176106.6549706459
298,Volkswagen Jetta [2013-2017] Comfortline TDI,Volkswagen,Jetta,2014,brown,sedan,"83,265",2nd,5,diesel,55,4 cylinder inline,1596,5-Speed,Manual,138.0,320.0,19.33,BS IV,790000,917503.8625078201
299,Volkswagen Jetta [2013-2017] Comfortline TDI,Volkswagen,Jetta,2014,brown,sedan,"83,265",2nd,5,diesel,55,4 cylinder inline,1596,5-Speed,Manual,138.0,320.0,19.33,BS IV,790000,917503.8625078201
300,Volkswagen Jetta [2013-2017] Comfortline TDI,Volkswagen,Jetta,2014,brown,sedan,"83,265",2nd,5,diesel,55,4 cylinder inline,1968,5-Speed,Manual,138.0,320.0,19.33,BS IV,790000,917503.8625078201
301,Volkswagen Jetta [2013-2017] Comfortline TDI,Volkswagen,Jetta,2014,brown,sedan,"83,265",2nd,5,diesel,55,4 cylinder inline,1968,5-Speed,Manual,138.0,320.0,19.33,BS IV,790000,917503.8625078201
302,Honda Amaze 1.2 V CVT Petrol,Honda,Amaze,2018,brown,sedan,"16,348",1st,5,petrol,35,i-VTEC Petrol Engine,1199,5-Speed,Manual,88.76,110.0,18.3,BS IV,765000,593941.1143298149
303,Hyundai i20 [2012-2014] Sportz 1.2,Hyundai,i20,2012,white,hatchback,"90,078",1st,5,petrol,45,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,82.85,113.0,18.5,BS IV,420000,477166.1821793914
304,Honda WR-V i-DTEC VX,Honda,WR-V,2018,grey,suv,"69,591",3rd,5,diesel,40,i-DTEC Diesel engine,1498,6-Speed,Manual,97.89,200.0,23.7,BS IV,800000,744470.8779341877
305,Hyundai i20 [2012-2014] Sportz 1.2,Hyundai,i20,2013,blue,hatchback,"56,096",1st,5,petrol,45,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,82.85,113.0,18.5,BS IV,486000,546805.258739233
306,Mahindra XUV500 [2015-2018] W10,Mahindra,XUV500,2017,white,suv,"56,418",1st,7,diesel,70,4 cylinder mHawk CRDe diesel engine,2179,6-Speed,Manual,140.0,330.0,16,BS IV,1465000,1578010.3830005229
307,Hyundai i10 [2010-2016] Magna 1.2 Petrol,Hyundai,i10,2012,grey,hatchback,"65,284",1st,5,petrol,35,Kappa Petrol Engine,1197,5-Speed,Manual,78.9,111.7,20.36,BS III,348000,176106.6549706459
308,Chevrolet Cruze [2009-2017] LTZ AT,Chevrolet,Cruze,2015,grey,sedan,"72,489",1st,5,diesel,60,VCDi 16V SOHC,1991,6-Speed,Automatic,164.0,380.0,14.81,BS IV,892000,1137672.7026720643
309,Volkswagen Polo [2010-2014] Highline1.2L (P),Volkswagen,Polo,2011,silver,hatchback,"68,645",2nd,5,petrol,45,MPI Petrol Engine,1198,5-Speed,Manual,73.9,110.0,16.47,BS IV,451000,407527.10561951995
310,Hyundai Eon [2011-2018] Magna +,Hyundai,Eon,2018,blue,hatchback,"33,231",2nd,5,petrol,32,Kappa Engine,814,5-Speed,Manual,68.05,94.14,20.03,BS IV,403000,503623.2561672032
311,Hyundai i10 [2010-2016] Magna 1.2 Petrol,Hyundai,i10,2011,beige,hatchback,"43,953",1st,5,petrol,35,Kappa Petrol Engine,1197,5-Speed,Manual,78.9,111.7,20.36,BS III,338000,106467.57841077447
312,Ford EcoSport [2015-2017] Titanium 1.5L Ti-VCT AT,Ford,EcoSport,2016,grey,suv,"36,422",1st,5,petrol,52,1.5L Ti-VCT (Petrol),1499,6-Speed,Automatic,110.0,140.0,16.5,BS IV,806000,966464.1574649215
313,Maruti Suzuki Ciaz [2014-2017] ZXI+,Maruti Suzuki,Ciaz,2015,red,sedan,"78,251",1st,5,petrol,43,k14B VVT Engine,1373,5-Speed,Manual,91.1,130.0,20.73,BS IV,634000,625871.5064172149
314,Hyundai Elite i20 [2014-2018] Sportz 1.2,Hyundai,Elite i20,2016,red,hatchback,"48,481",1st,5,petrol,45,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,81.83,114.7,18.6,BS IV,654000,755722.4884188175
315,Maruti Suzuki Ciaz [2017-2018] Alpha AT,Maruti Suzuki,Ciaz,2018,blue,sedan,"37,746",1st,5,petrol,43,k14B VVT Engine,1373,4-Speed,Manual,91.1,130.0,20.73,BS IV,882000,834788.7360967994
316,Hyundai Creta [2015-2018] 1.6 SX Plus Auto Petrol,Hyundai,Creta,2017,silver,suv,"50,872",1st,5,petrol,60,Petrol Dual VTVT,1591,6-Speed,Manual,122.0,154.0,15.29,BS IV,1196000,1276950.8557917774
317,Hyundai Elite i20 [2014-2018] Asta 1.2,Hyundai,Elite i20,2015,grey,hatchback,"25,517",1st,5,petrol,45,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,81.83,114.7,18.6,BS IV,669000,686083.4118589759
318,Ford EcoSport [2013-2015] Titanium 1.5L Ti-VCT,Ford,EcoSport,2014,silver,suv,"74,814",2nd,5,petrol,52,1.5L Ti-VCT (Petrol),1499,5-Speed,Manual,109.0,140.0,15.8,BS III,589000,827186.0043452084
319,Tata Harrier XZ Dual Tone,Tata,Harrier,2020,red,suv,"24,315",1st,5,diesel,50,Kryotec 2.0 L Turbocharge,1956,6-Speed,Manual,138.0,350.0,17,BS IV,1912000,1184808.5582626164
320,Hyundai Elite i20 [2014-2018] Sportz 1.2,Hyundai,Elite i20,2017,blue,hatchback,"63,937",1st,5,petrol,45,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,81.83,114.7,18.6,BS IV,628000,825361.564978689
321,Maruti Suzuki Dzire [2017-2020] ZXi Plus,Maruti Suzuki,Dzire,2019,white,sedan,"11,499",1st,5,petrol,37,1.2 Litre Petrol Engine,1197,5-Speed,Automatic,88.5,113.0,23.26,BS V,812000,723792.0963313878
322,Maruti Suzuki Baleno [2019-2020] Alpha Diesel,Maruti Suzuki,Baleno,2019,blue,hatchback,"30,420",1st,5,diesel,37,ddis diesel engine,1248,5-Speed,Automatic,74.0,190.0,BS IV,BS V,883000,723792.0963313878
323,Maruti Suzuki Ciaz Zeta AT Petrol,Maruti Suzuki,Ciaz,2018,white,sedan,"15,221",1st,5,petrol,43,K15 Smart Hybrid Petrol E,1462,4-Speed,Manual,103.25,138.0,20.65,BS IV,914000,834788.7360967994
324,Mahindra Scorpio [2014-2017] S4 Plus,Mahindra,Scorpio,2017,black,suv,"46,438",1st,7,diesel,60,4 cylinder mHawk CRDe diesel engine,2179,5-Speed,Manual,120.0,280.0,15.4,BS IV,1112000,1276950.8557917774
325,Maruti Suzuki Baleno [2015-2019] Alpha Diesel,Maruti Suzuki,Baleno,2018,orange,hatchback,"27,941",1st,5,diesel,37,DDiS 200,1248,5-Speed,Manual,74.0,190.0,27.39,BS V,810000,654153.0197715461
326,Hyundai Grand i10 [2013-2017] Asta AT 1.2 Kappa VTVT,Hyundai,Grand i10,2014,grey,hatchback,"35,461",2nd,5,petrol,43,Kappa VTVT Petrol Engine,1197,4-Speed,Automatic,82.0,114.0,18.9,BS IV,530000,556232.4298573434
327,Maruti Suzuki Ritz [2009-2012] Vdi,Maruti Suzuki,Ritz,2012,white,hatchback,"46,447",1st,5,diesel,43,Multijet/DDis,1248,5-Speed,Manual,75.0,190.0,15.6,BS IV,455000,416954.27673763037
328,Maruti Suzuki Swift Dzire [2012-2017] VXi,Maruti Suzuki,Swift Dzire,2013,grey,sedan,"74,652",1st,5,petrol,42,K Series VVT Engine,1197,5-Speed,Manual,85.8,114.0,19.1,BS IV,498000,456487.4005765915
329,Maruti Suzuki Wagon R 1.0 [2010-2019] VXI,Maruti Suzuki,Wagon R 1.0,2013,beige,hatchback,"44,746",1st,5,petrol,35,K Series Petrol Engine,998,5-Speed,Manual,67.1,90.0,18.9,BS V,403000,245745.73153048754
330,Hyundai i10 [2010-2016] Magna Petrol,Hyundai,i10,2014,grey,hatchback,"92,092",1st,5,petrol,35,4 cylinder inline petrol engine,1197,5-Speed,Manual,68.0,99.08,19.81,BS III,380000,315384.808090359
331,Toyota Yaris [2018-2021] VX CVT,Toyota,Yaris,2020,red,sedan,"26,653",2nd,5,petrol,42,1.5 Dual VVT-i Engine,1596,5-Speed,Manual,105.94,140.0,18.1,BS IV,1092000,943960.9364956319
332,Toyota Yaris [2018-2021] VX CVT,Toyota,Yaris,2020,red,sedan,"26,653",2nd,5,petrol,42,1.5 Dual VVT-i Engine,1596,5-Speed,Manual,105.94,140.0,18.1,BS IV,1092000,943960.9364956319
333,Toyota Yaris [2018-2021] VX CVT,Toyota,Yaris,2020,red,sedan,"26,653",2nd,5,petrol,42,1.5 Dual VVT-i Engine,1496,5-Speed,Manual,105.94,140.0,18.1,BS IV,1092000,943960.9364956319
334,Toyota Yaris [2018-2021] VX CVT,Toyota,Yaris,2020,red,sedan,"26,653",2nd,5,petrol,42,1.5 Dual VVT-i Engine,1496,5-Speed,Manual,105.94,140.0,18.1,BS IV,1092000,943960.9364956319
335,Hyundai Grand i10 [2013-2017] Asta 1.2 Kappa VTVT,Hyundai,Grand i10,2014,blue,hatchback,"58,748",2nd,5,petrol,43,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,82.0,114.0,18.9,BS IV,457000,556232.4298573434
336,Hyundai Creta [2015-2018] 1.6 S Petrol,Hyundai,Creta,2016,beige,suv,"90,147",1st,5,petrol,60,Petrol Dual VTVT,1591,6-Speed,Manual,122.0,154.0,15.29,BS IV,813000,1207311.779231906
337,Hyundai Fluidic Verna 4S [2015-2018] 1.6 VTVT SX,Hyundai,Fluidic Verna 4S,2017,grey,sedan,"25,905",1st,5,petrol,43,1.6L Gamma VTVT 5 Speed Manual Transmission,1591,5-Speed,Manual,121.0,158.0,17.4,BS IV,820000,765149.6595369279
338,Hyundai Xcent [2014-2017] SX (O) Petrol,Hyundai,Xcent,2014,black,sedan,"76,890",1st,5,petrol,43,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,82.0,114.0,19.1,BS IV,502000,556232.4298573434
339,Maruti Suzuki Alto 800 Vxi,Maruti Suzuki,Alto 800,2020,silver,hatchback,"32,490",1st,5,petrol,35,F8D Petrol Engine,796,5-Speed,Manual,47.3,69.0,22.05,BS IV,414000,733219.267449528
340,Maruti Suzuki Alto 800 [2016-2019] Lxi,Maruti Suzuki,Alto 800,2019,red,hatchback,"13,505",1st,5,petrol,35,F8D Petrol Engine,796,5-Speed,Manual,47.3,69.0,24.7,BS V,391000,663580.1908896565
341,Maruti Suzuki Alto 800 Lxi,Maruti Suzuki,Alto 800,2021,silver,hatchback,"21,564",1st,5,petrol,35,F8D Petrol Engine,796,5-Speed,Manual,47.33,69.0,22.05,BS IV,433000,802858.3440093994
342,Maruti Suzuki Alto 800 [2016-2019] Vxi,Maruti Suzuki,Alto 800,2018,grey,hatchback,"22,849",1st,5,petrol,35,F8D Petrol Engine,796,5-Speed,Manual,47.3,69.0,22,BS V,372000,593941.1143298149
343,Maruti Suzuki Alto K10 [2014-2019] VXi (O),Maruti Suzuki,Alto K10,2016,white,hatchback,"24,374",1st,5,petrol,35,K10B,998,5-Speed,Manual,67.0,90.0,24.07,BS V,384000,454662.96121007204
344,Hyundai Elite i20 [2014-2018] Asta 1.2 Dual Tone,Hyundai,Elite i20,2018,white,hatchback,"31,912",1st,5,petrol,45,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,81.83,114.7,18.6,BS IV,784000,895000.6415385604
345,Hyundai Creta [2015-2018] 1.6 SX Plus Petrol,Hyundai,Creta,2016,red,suv,"60,578",1st,5,petrol,60,Petrol Dual VTVT,1591,6-Speed,Manual,122.0,154.0,15.29,BS IV,971000,1207311.779231906
346,Hyundai Elite i20 [2014-2018] Asta 1.2 (O),Hyundai,Elite i20,2016,red,hatchback,"95,065",1st,5,petrol,45,"1.2 Kappa petrol with dual VTVT, 16 Valves, 4 Cylinder",1197,5-Speed,Manual,82.0,115.0,18.6,BS IV,655000,755722.4884188175
347,Renault Kwid 1.0 RXT Opt,Renault,Kwid,2022,white,hatchback,"7,342",1st,5,petrol,28,Petrol Engine,1298,5-Speed,Automatic,67.0,91.0,22,BS IV,539000,661755.7515231371
348,Renault Kwid 1.0 RXL,Renault,Kwid,2021,blue,hatchback,"9,285",1st,5,petrol,28,1.0L	,1298,5-Speed,Automatic,67.0,91.0,21.7,BS IV,470000,592116.6749632955
349,Hyundai Elite i20 [2014-2018] Asta 1.4 CRDI (O),Hyundai,Elite i20,2017,grey,hatchback,"41,443",1st,5,diesel,45,U2 CRDI Diesel Engine,1396,6-Speed,Manual,88.73,219.7,22.54,BS IV,790000,825361.564978689
350,Maruti Suzuki Celerio [2014-2021] VXi,Maruti Suzuki,Celerio,2015,silver,hatchback,"53,848",2nd,5,petrol,35,K10B,998,5-Speed,Automatic,67.04,90.0,23.1,BS IV,415000,385023.8846502304
351,Maruti Suzuki Ritz [2009-2012] VXI,Maruti Suzuki,Ritz,2012,silver,hatchback,"70,568",2nd,5,petrol,45,KB Series,1197,5-Speed,Manual,85.0,113.0,18.5,BS IV,368000,477166.1821793914
352,Maruti Suzuki Swift Dzire [2012-2017] VXi,Maruti Suzuki,Swift Dzire,2012,black,sedan,"61,885",1st,5,petrol,42,K Series VVT Engine,1197,5-Speed,Manual,85.8,114.0,19.1,BS IV,457000,386848.32401674986
353,Honda WR-V VX i-VTEC,Honda,WR-V,2019,grey,suv,"16,240",1st,5,petrol,40,i-VTEC Petrol engine,1199,5-Speed,Manual,88.5,110.0,16.5,BS IV,894000,814109.9544940293
